age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
68,Private,378990,Assoc-voc,11,Married-civ-spouse,Protective-serv,Other-relative,White,Male,0,0,50,United-States,<=50K
31,Private,511413,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,59,United-States,>50K
88,Private,618444,Prof-school,14,Divorced,Protective-serv,Wife,Amer-Indian-Eskimo,Male,0,0,41,United-States,>50K
77,Self-emp-not-inc,1087224,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,0,2274,41,United-States,>50K
37,Private,450038,11th,7,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,0,32,United-States,<=50K
40,Self-emp-not-inc,769620,Some-college,10,Married-civ-spouse,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,46,United-States,<=50K
19,Local-gov,594335,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Female,0,0,55,United-States,<=50K
38,Private,780002,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,33,United-States,<=50K
69,Private,1361004,5th-6th,3,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,45,United-States,<=50K
18,Private,1103170,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,53,United-States,>50K
46,Private,130418,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,29,United-States,<=50K
54,Self-emp-inc,1097348,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,46,United-States,>50K
18,Private,724795,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,47,United-States,>50K
80,Self-emp-not-inc,42437,Prof-school,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,13,United-States,>50K
76,Private,37055,Bachelors,13,Divorced,Tech-support,Own-child,White,Female,0,0,33,United-States,<=50K
37,Private,1358603,10th,6,Never-married,Sales,Wife,White,Female,0,0,26,United-States,<=50K
49,State-gov,463777,10th,6,Never-married,Farming-fishing,Other-relative,White,Female,0,0,33,United-States,<=50K
74,Private,1380649,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,34,United-States,<=50K
38,Private,784090,Some-college,10,Separated,Sales,Husband,White,Female,0,0,39,United-States,<=50K
65,Private,464573,12th,8,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,0,50,United-States,<=50K
75,Private,144983,12th,8,Never-married,Prof-specialty,Wife,White,Male,0,0,54,United-States,>50K
58,Private,340449,11th,7,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,42,United-States,>50K
76,Private,307966,Assoc-acdm,12,Divorced,Protective-serv,Own-child,White,Male,0,0,55,United-States,>50K
31,Private,935892,12th,8,Married-civ-spouse,Farming-fishing,Own-child,Black,Male,0,0,49,United-States,>50K
78,Private,46779,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,38,United-States,>50K
78,Private,1079425,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,57,United-States,<=50K
63,Private,1322273,11th,7,Married-civ-spouse,Sales,Unmarried,Black,Female,0,0,40,United-States,>50K
78,Private,920474,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,42,United-States,>50K
67,Private,282719,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,28,United-States,>50K
71,Private,1485130,Masters,14,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,44,United-States,>50K
80,Private,1105422,Bachelors,13,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,45,United-States,>50K
19,Private,100801,10th,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,50,United-States,<=50K
67,Private,1348155,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,37,United-States,>50K
23,Self-emp-not-inc,1284590,10th,6,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,31,United-States,>50K
37,Self-emp-inc,534065,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,44,United-States,>50K
89,Local-gov,835462,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K
55,Private,210943,HS-grad,9,Married-civ-spouse,Transport-moving,Own-child,White,Female,0,0,35,United-States,>50K
34,Private,30516,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,29,United-States,<=50K
20,Private,138121,12th,8,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K
76,Private,21029,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,59,United-States,>50K
30,Private,454852,Bachelors,13,Married-civ-spouse,Exec-managerial,Unmarried,Black,Female,0,0,28,United-States,>50K
25,Private,1384803,10th,6,Separated,Tech-support,Unmarried,White,Female,30560,0,27,United-States,<=50K
69,State-gov,822314,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,62,United-States,>50K
18,Local-gov,807908,11th,7,Never-married,Prof-specialty,Unmarried,White,Male,0,0,38,United-States,>50K
76,Private,854381,12th,8,Never-married,Tech-support,Wife,Black,Male,0,0,25,United-States,>50K
87,Self-emp-not-inc,1061342,5th-6th,3,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,23,United-States,<=50K
60,Private,335491,Prof-school,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,>50K
24,Self-emp-inc,1371088,12th,8,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,46851,0,44,United-States,>50K
63,Private,121066,Masters,14,Never-married,Protective-serv,Not-in-family,White,Female,0,0,46,United-States,>50K
51,Self-emp-inc,1189356,Assoc-acdm,12,Never-married,Tech-support,Wife,White,Male,0,0,29,United-States,>50K
52,Private,549960,10th,6,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,0,0,25,United-States,<=50K
66,Self-emp-inc,127234,12th,8,Widowed,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,46,United-States,>50K
20,Private,1249301,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Black,Male,0,0,27,United-States,>50K
18,Private,630924,5th-6th,3,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,38,United-States,<=50K
22,State-gov,702975,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,29,United-States,<=50K
70,Private,659447,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2768,59,United-States,<=50K
20,Private,1139929,Masters,14,Never-married,Adm-clerical,Wife,White,Male,0,0,51,United-States,>50K
70,Private,1157939,Masters,14,Never-married,Tech-support,Wife,White,Female,71685,0,71,United-States,>50K
79,Private,576866,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,White,Male,0,0,47,United-States,>50K
34,Private,1192884,Masters,14,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,43,United-States,>50K
60,Self-emp-inc,485810,5th-6th,3,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,<=50K
50,Private,253278,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,21,United-States,<=50K
90,Self-emp-inc,109816,Masters,14,Never-married,Farming-fishing,Husband,White,Female,38216,0,18,United-States,>50K
78,Private,723209,Prof-school,14,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,48,United-States,<=50K
30,Private,858675,11th,7,Married-civ-spouse,Protective-serv,Unmarried,White,Female,0,0,33,United-States,>50K
64,Self-emp-not-inc,892738,Bachelors,13,Never-married,Protective-serv,Husband,Black,Female,0,0,39,United-States,>50K
31,Private,1054668,Assoc-acdm,12,Divorced,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,57736,0,20,United-States,>50K
88,Self-emp-not-inc,1250092,11th,7,Never-married,Protective-serv,Other-relative,White,Male,17130,0,33,United-States,>50K
78,Private,830525,HS-grad,9,Divorced,Tech-support,Husband,White,Male,0,4107,35,United-States,>50K
56,Local-gov,1460032,Doctorate,16,Divorced,Transport-moving,Unmarried,White,Female,0,4252,51,United-States,>50K
69,Federal-gov,781416,12th,8,Never-married,Tech-support,Wife,White,Male,0,0,41,United-States,<=50K
40,Private,385629,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,23,United-States,>50K
42,Self-emp-inc,418462,Bachelors,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,33,United-States,>50K
76,Private,1278842,Masters,14,Divorced,Adm-clerical,Own-child,White,Male,0,0,53,United-States,>50K
57,Federal-gov,424059,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,34,United-States,>50K
45,Self-emp-inc,235319,Doctorate,16,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
31,Private,942312,Bachelors,13,Widowed,Protective-serv,Husband,White,Female,0,0,33,United-States,>50K
61,Private,62021,Bachelors,13,Never-married,Transport-moving,Husband,White,Female,0,0,44,United-States,>50K
81,Self-emp-not-inc,1330865,Assoc-voc,11,Never-married,Adm-clerical,Wife,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K
87,Private,345685,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,4194,38,United-States,>50K
25,Federal-gov,388581,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,24,United-States,>50K
17,State-gov,608210,HS-grad,9,Separated,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
24,Private,1463022,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,42,Other,>50K
79,Private,675593,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,>50K
27,Private,861291,Masters,14,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,0,33,United-States,>50K
24,Self-emp-inc,125205,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Male,0,741,29,United-States,<=50K
51,Private,1027449,Doctorate,16,Married-civ-spouse,Farming-fishing,Unmarried,Other,Female,0,0,56,United-States,<=50K
51,Private,610485,9th,5,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,51,United-States,>50K
49,Private,438425,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,48,United-States,>50K
21,Private,791022,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,2171,0,59,United-States,>50K
57,Self-emp-not-inc,216396,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,26,United-States,<=50K
44,Private,197398,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,43,United-States,>50K
23,Private,579146,Doctorate,16,Divorced,Farming-fishing,Not-in-family,Black,Male,72632,0,23,United-States,>50K
89,Private,287898,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,>50K
88,Self-emp-not-inc,905237,10th,6,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,36,United-States,>50K
28,State-gov,1084255,11th,7,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,31,United-States,<=50K
50,Private,695226,Masters,14,Divorced,Farming-fishing,Unmarried,White,Male,0,0,39,United-States,>50K
49,Federal-gov,1349367,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,0,65,United-States,>50K
64,Private,130766,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,43,United-States,<=50K
39,Private,55128,Masters,14,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,51,United-States,>50K
78,Private,778296,Masters,14,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,41,United-States,>50K
53,Private,1184679,12th,8,Widowed,Tech-support,Husband,White,Female,0,0,19,United-States,<=50K
60,Self-emp-inc,758087,11th,7,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,32,United-States,>50K
51,Private,1405031,11th,7,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,33,United-States,>50K
81,Private,751005,HS-grad,9,Widowed,Craft-repair,Husband,White,Female,0,0,39,United-States,>50K
63,Self-emp-not-inc,1196072,11th,7,Separated,Tech-support,Other-relative,White,Male,0,0,47,United-States,>50K
19,Private,307313,HS-grad,9,Divorced,Machine-op-inspct,Wife,White,Male,0,0,50,United-States,>50K
17,Federal-gov,891438,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,44,United-States,<=50K
21,Private,689821,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,52,United-States,>50K
30,Private,251424,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,32,United-States,<=50K
43,Private,1334025,Masters,14,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,46,Other,>50K
25,Federal-gov,692765,Assoc-acdm,12,Separated,Machine-op-inspct,Husband,White,Male,0,0,46,United-States,<=50K
31,Private,1023164,Doctorate,16,Never-married,Sales,Own-child,Black,Male,0,0,50,United-States,>50K
58,Private,193057,5th-6th,3,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,31,United-States,<=50K
67,Private,598875,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Wife,Black,Male,0,0,62,United-States,>50K
79,Private,744046,Doctorate,16,Never-married,Protective-serv,Not-in-family,White,Male,86004,0,30,United-States,>50K
68,Private,253226,Bachelors,13,Divorced,Farming-fishing,Other-relative,White,Male,0,0,34,United-States,>50K
20,Federal-gov,1083737,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,48,United-States,>50K
39,Private,896345,10th,6,Divorced,Protective-serv,Own-child,White,Male,0,0,21,United-States,<=50K
31,Self-emp-inc,218703,Doctorate,16,Divorced,Protective-serv,Wife,White,Male,0,0,28,Other,>50K
59,Private,1351930,12th,8,Never-married,Tech-support,Own-child,White,Male,0,0,41,Other,<=50K
45,Private,1119762,9th,5,Divorced,Prof-specialty,Unmarried,White,Male,0,0,18,United-States,<=50K
52,Private,36086,Masters,14,Divorced,Transport-moving,Husband,White,Male,0,0,30,United-States,>50K
29,Private,605650,Prof-school,14,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,>50K
48,Private,965558,5th-6th,3,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
87,Private,1129389,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Male,0,0,61,Other,>50K
75,Local-gov,1284170,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,48,United-States,>50K
44,Private,1160954,10th,6,Widowed,Craft-repair,Unmarried,White,Female,0,0,45,United-States,<=50K
82,Private,179770,Doctorate,16,Never-married,Exec-managerial,Unmarried,White,Female,0,0,41,United-States,>50K
58,Self-emp-not-inc,834736,Prof-school,14,Never-married,Tech-support,Unmarried,White,Female,0,0,49,United-States,<=50K
61,Private,509062,5th-6th,3,Never-married,Transport-moving,Other-relative,White,Female,0,0,40,United-States,>50K
78,Local-gov,1278760,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Wife,White,Male,0,0,28,United-States,>50K
73,Private,502578,Masters,14,Never-married,Craft-repair,Other-relative,Black,Female,0,0,44,United-States,<=50K
22,Private,724893,10th,6,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,31,United-States,>50K
44,State-gov,513671,11th,7,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,45,United-States,<=50K
44,Private,549383,Assoc-voc,11,Married-civ-spouse,Transport-moving,Unmarried,White,Male,18750,0,43,United-States,>50K
60,Self-emp-not-inc,1068222,9th,5,Married-civ-spouse,Exec-managerial,Own-child,Black,Male,0,0,32,United-States,>50K
46,Private,263373,Prof-school,14,Separated,Tech-support,Not-in-family,White,Male,0,0,64,United-States,<=50K
78,Local-gov,1105914,Prof-school,14,Widowed,Protective-serv,Not-in-family,White,Male,0,0,55,United-States,>50K
78,Private,858715,Doctorate,16,Married-civ-spouse,Protective-serv,Other-relative,White,Female,0,0,39,United-States,<=50K
17,Private,731129,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,46,Other,<=50K
43,Federal-gov,1435144,Masters,14,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,44,United-States,>50K
78,Private,687495,Prof-school,14,Never-married,Craft-repair,Own-child,White,Female,0,0,33,United-States,>50K
19,Private,85759,Doctorate,16,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,46,United-States,>50K
86,Private,1164296,Masters,14,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,37,United-States,>50K
88,Private,776323,10th,6,Married-civ-spouse,Transport-moving,Own-child,White,Female,18602,0,23,United-States,>50K
43,Private,1155738,9th,5,Never-married,Transport-moving,Other-relative,Other,Male,0,0,33,United-States,>50K
25,Private,487802,Prof-school,14,Divorced,Sales,Husband,Black,Female,0,0,33,United-States,<=50K
78,Private,1189085,12th,8,Never-married,Tech-support,Unmarried,White,Male,0,0,16,United-States,<=50K
53,Private,1129858,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,Other,<=50K
67,Private,822911,Doctorate,16,Never-married,Craft-repair,Not-in-family,White,Male,0,0,33,United-States,>50K
60,Local-gov,1312380,5th-6th,3,Divorced,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,>50K
40,Local-gov,689507,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Female,0,0,67,United-States,<=50K
75,Private,382252,Assoc-voc,11,Married-civ-spouse,Transport-moving,Unmarried,White,Male,0,2170,28,United-States,<=50K
48,Self-emp-not-inc,562691,Prof-school,14,Never-married,Protective-serv,Unmarried,White,Male,0,0,38,Other,>50K
68,Self-emp-not-inc,1416927,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,United-States,>50K
78,Private,133446,11th,7,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Male,0,0,32,United-States,>50K
74,Private,82544,Doctorate,16,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,33,United-States,>50K
68,Private,905776,Masters,14,Divorced,Farming-fishing,Husband,White,Male,0,3271,53,Other,>50K
28,Private,1115233,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,29,United-States,>50K
55,Federal-gov,672309,Doctorate,16,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,50,United-States,>50K
18,Private,1165359,Some-college,10,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,72,United-States,>50K
19,State-gov,1319625,Prof-school,14,Divorced,Protective-serv,Not-in-family,White,Male,0,0,61,Other,<=50K
72,Private,324480,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,5,United-States,>50K
75,Private,933547,Assoc-voc,11,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,0,45,United-States,>50K
18,Private,1421470,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,58,United-States,>50K
18,Private,548735,5th-6th,3,Never-married,Machine-op-inspct,Own-child,White,Male,0,1457,30,United-States,>50K
70,Local-gov,549077,Masters,14,Divorced,Adm-clerical,Wife,White,Male,0,0,38,United-States,>50K
17,Private,1488944,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,36,United-States,>50K
35,Private,1210507,Doctorate,16,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,51,United-States,<=50K
18,Private,526412,12th,8,Married-civ-spouse,Tech-support,Unmarried,White,Male,0,0,34,United-States,<=50K
69,Private,659803,5th-6th,3,Divorced,Protective-serv,Own-child,White,Male,0,0,62,Other,<=50K
60,Private,904509,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,White,Male,0,0,54,United-States,>50K
48,Private,957413,12th,8,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,21,United-States,<=50K
86,Self-emp-not-inc,502050,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,21,United-States,>50K
48,Private,1311637,Some-college,10,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,42,United-States,<=50K
84,Private,541921,Masters,14,Married-civ-spouse,Farming-fishing,Husband,Black,Female,0,0,37,United-States,>50K
71,Private,1395164,Some-college,10,Married-spouse-absent,Transport-moving,Wife,Asian-Pac-Islander,Male,0,0,39,United-States,>50K
72,Private,310357,HS-grad,9,Separated,Protective-serv,Wife,White,Male,0,0,33,United-States,>50K
33,Private,471381,Some-college,10,Married-civ-spouse,Protective-serv,Other-relative,White,Female,0,0,27,United-States,<=50K
54,State-gov,516548,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,>50K
40,Private,276136,Assoc-acdm,12,Married-civ-spouse,Sales,Other-relative,Black,Male,0,0,45,United-States,>50K
85,Private,1104803,Masters,14,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,52,United-States,>50K
